Timestamp,Milliseconds,centimeters
2019-10-27 21:51:19,508001,8.0
2019-10-27 21:51:20,509002,8.0
2019-10-27 21:51:21,510001,8.0
2019-10-27 21:51:22,511001,8.0
2019-10-27 21:51:23,512001,8.0
2019-10-27 21:51:24,513002,8.0
2019-10-27 21:51:25,514001,8.0
2019-10-27 21:51:26,515001,8.0
2019-10-27 21:51:27,516002,8.0
2019-10-27 21:51:28,517001,8.0
2019-10-27 21:51:29,518002,8.0
2019-10-27 21:51:30,519001,8.0
2019-10-27 21:51:31,520002,8.0
2019-10-27 21:51:32,521001,8.0
2019-10-27 21:51:33,522001,8.0
2019-10-27 21:51:34,523002,8.0
2019-10-27 21:51:35,524001,8.0
2019-10-27 21:51:36,525001,8.0
2019-10-27 21:51:37,526002,8.0
2019-10-27 21:51:38,527001,8.0
2019-10-27 21:51:39,528002,8.0
2019-10-27 21:51:40,529001,8.0
2019-10-27 21:51:41,530001,8.0
2019-10-27 21:51:42,531002,8.0
2019-10-27 21:51:43,532001,8.0
2019-10-27 21:51:44,533002,8.0
2019-10-27 21:51:45,534001,8.0
2019-10-27 21:51:46,535002,8.0
2019-10-27 21:51:47,536001,8.0
2019-10-27 21:51:48,537002,8.0
2019-10-27 21:51:49,538001,8.0
2019-10-27 21:51:50,539003,8.0
2019-10-27 21:51:51,540001,8.0
2019-10-27 21:51:52,541001,8.0
2019-10-27 21:51:53,542002,8.0
2019-10-27 21:51:54,543001,8.0
2019-10-27 21:51:55,544001,8.0
2019-10-27 21:51:56,545001,8.0
2019-10-27 21:51:57,546002,8.0
2019-10-27 21:51:58,547001,8.0
2019-10-27 21:51:59,548001,8.0
2019-10-27 21:52:00,549002,8.0
2019-10-27 21:52:01,550001,8.0
2019-10-27 21:52:02,551001,8.0
2019-10-27 21:52:03,552002,8.0
2019-10-27 21:52:04,553001,8.0
2019-10-27 21:52:05,554001,8.0
2019-10-27 21:52:06,555001,8.0
2019-10-27 21:52:07,556001,8.0
2019-10-27 21:52:08,557002,8.0
2019-10-27 21:52:09,558001,8.0
2019-10-27 21:52:10,559002,8.0
2019-10-27 21:52:11,560001,8.0
2019-10-27 21:52:12,561001,8.0
2019-10-27 21:52:13,562002,8.0
2019-10-27 21:52:14,563001,8.0
2019-10-27 21:52:15,564001,8.0
2019-10-27 21:52:16,565002,8.0
2019-10-27 21:52:17,566003,8.0
2019-10-27 21:52:18,567001,8.0
2019-10-27 21:52:19,568001,8.0
2019-10-27 21:52:20,569002,8.0
2019-10-27 21:52:21,570001,8.0
2019-10-27 21:52:22,571001,8.0
2019-10-27 21:52:23,572001,8.0
2019-10-27 21:52:24,573001,8.0
2019-10-27 21:52:25,574002,8.0
2019-10-27 21:52:26,575001,8.0
2019-10-27 21:52:27,576001,8.0
2019-10-27 21:52:28,577002,8.0
2019-10-27 21:52:29,578001,8.0
2019-10-27 21:52:30,579001,8.0
2019-10-27 21:52:31,580002,8.0
2019-10-27 21:52:32,581001,8.0
2019-10-27 21:52:33,582001,8.0
2019-10-27 21:52:34,583002,8.0
2019-10-27 21:52:35,584001,8.0
2019-10-27 21:52:36,585002,8.0
2019-10-27 21:52:37,586001,8.0
2019-10-27 21:52:38,587002,8.0
2019-10-27 21:52:39,588002,8.0
2019-10-27 21:52:40,589001,8.0
2019-10-27 21:52:41,590002,8.0
2019-10-27 21:52:42,591001,8.0
2019-10-27 21:52:43,592001,8.0
2019-10-27 21:52:44,593002,8.0
2019-10-27 21:52:45,594001,8.0
2019-10-27 21:52:46,595001,8.0
2019-10-27 21:52:47,596001,8.0
2019-10-27 21:52:48,597003,8.0
2019-10-27 21:52:49,598002,8.0
2019-10-27 21:52:50,599001,8.0
2019-10-27 21:52:51,600002,8.0
2019-10-27 21:52:52,601001,8.0
2019-10-27 21:52:53,602001,8.0
2019-10-27 21:52:54,603002,8.0
2019-10-27 21:52:55,604001,8.0
2019-10-27 21:52:56,605001,8.0
2019-10-27 21:52:57,606002,8.0
2019-10-27 21:52:58,607001,8.0
2019-10-27 21:52:59,608001,8.0
2019-10-27 21:53:00,609002,8.0
2019-10-27 21:53:01,610001,8.0
2019-10-27 21:53:02,611002,8.0
2019-10-27 21:53:03,612001,8.0
2019-10-27 21:53:04,613002,8.0
2019-10-27 21:53:05,614001,8.0
2019-10-27 21:53:06,615001,8.0
2019-10-27 21:53:07,616001,8.0
2019-10-27 21:53:08,617001,8.0
2019-10-27 21:53:09,618002,8.0
2019-10-27 21:53:10,619001,8.0
2019-10-27 21:53:11,620001,8.0
2019-10-27 21:53:12,621001,8.0
2019-10-27 21:53:13,622001,8.0
2019-10-27 21:53:14,623002,8.0
2019-10-27 21:53:15,624001,8.0
2019-10-27 21:53:16,625001,8.0
2019-10-27 21:53:17,626002,8.0
2019-10-27 21:53:18,627001,8.0
2019-10-27 21:53:19,628002,8.0
2019-10-27 21:53:20,629001,8.0
2019-10-27 21:53:21,630001,8.0
2019-10-27 21:53:22,631002,8.0
2019-10-27 21:53:23,632001,8.0
2019-10-27 21:53:24,633001,8.0
2019-10-27 21:53:25,634002,8.0
2019-10-27 21:53:26,635001,8.0
2019-10-27 21:53:27,636001,8.0
2019-10-27 21:53:28,637002,8.0
2019-10-27 21:53:29,638001,8.0
2019-10-27 21:53:30,639001,8.0
2019-10-27 21:53:31,640001,8.0
